blockHash	blockNumber	from	gas	gasPrice	hash	input	nonce	r	s	to	transactionIndex	v	value	contextData.timestampMillis	payload.blockHash	payload.blockNumber	payload.from	payload.gas	payload.gasPrice	payload.hash	payload.input	payload.nonce	payload.r	payload.s	payload.to	payload.transactionIndex	payload.v	payload.value	payload.properties.blockHash	payload.properties.blockNumber	payload.properties.from	payload.properties.gas	payload.properties.gasPrice	payload.properties.hash	payload.properties.input	payload.properties.nonce	payload.properties.r	payload.properties.s	payload.properties.to	payload.properties.transactionIndex	payload.properties.v	payload.properties.value	contextData.deviceTemplate	contextData.device	contextData.clientConnection	contextData.clientSession	contextData.user	contextData.timezoneId	contextData.timestamp	contextData.source
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	string	string	string	string	string	string	string
																																											meta	meta	meta	meta	meta	meta	meta	meta
4.6819581205550575e+76	8600000.0	4.38767000528438e+47	400000.0	182000000000.0	6.593782700874983e+76	0.0	7.0	8.321720565170456e+76	4.191423977239722e+76	1.0410010685163678e+48	0.0	38.0	1.058e+16	1570182871656.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	2.3377658057320946e+47	90000.0	71000000000.0	1.7643960046935072e+76	0.0	1350.0	1.2878767303424402e+76	5.0570926904185555e+76	8.647271908458368e+47	1.0	37.0	7.271171e+16	1570182871658.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	6.550393018401567e+47	120000.0	51000000000.0	9.55490887423823e+76	3.8020752995870066e+163	137873.0	9.070638736990818e+76	4.0383201968620136e+76	1.0508649393907562e+47	2.0	28.0	0.0	1570182871659.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	1.335672815467926e+48	51804.0	41000000000.0	2.989390208341539e+76	3.8020752995870066e+163	14.0	9.184310351149103e+76	3.380565128356842e+76	7.02473997858221e+47	3.0	38.0	0.0	1570182871661.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	6.335893431746244e+47	120000.0	40000000000.0	4.3624433674286174e+76	3.8020752995870066e+163	254891.0	1.3890081433993907e+76	2.5172674123948753e+76	2.3666859133218287e+47	4.0	37.0	0.0	1570182871662.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	6.065516632601268e+47	60000.0	31000000000.0	4.899855008128163e+76	3.8020752995870066e+163	358462.0	1.2527371465674783e+76	5.439267612120976e+76	8.13317876788123e+47	5.0	38.0	0.0	1570182871664.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	4.72335779494254e+47	50000.0	30000000000.0	8.137239105447879e+76	0.0	13630525.0	3.7909947537384225e+76	3.023572794302263e+76	1.1052136496673354e+48	6.0	38.0	1.00432262689185e+17	1570182871665.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	4.72335779494254e+47	50000.0	30000000000.0	4.614274630959111e+76	0.0	13630526.0	1.0145289107068689e+77	1.8465567605535844e+76	1.1368375087600484e+48	7.0	38.0	2.00729356707763e+17	1570182871666.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
